Date,Price,Open,High,Low,Change %
01-10-2009,0.195,0.18,0.205,0.18,8.33%
01-09-2009,0.18,0.18,0.18,0.17,0.00%
01-08-2009,0.18,0.215,0.215,0.18,-16.28%
01-07-2009,0.215,0.205,0.215,0.17,0.00%
01-06-2009,0.215,0.205,0.26,0.175,7.50%
01-05-2009,0.2,0.275,0.305,0.185,-28.57%
01-04-2009,0.28,0.325,0.375,0.24,-15.15%
01-03-2009,0.33,0.36,0.38,0.285,-9.59%
01-02-2009,0.365,0.355,0.4,0.295,2.82%
01-01-2009,0.355,0.365,0.39,0.26,2.90%
01-12-2008,0.345,0.555,0.6,0.275,-40.00%
01-11-2008,0.575,0.575,0.595,0.435,4.55%
01-10-2008,0.55,0.69,0.79,0.5,-16.67%
01-09-2008,0.66,0.615,0.75,0.575,5.60%
01-08-2008,0.625,0.63,0.71,0.54,-7.41%
01-07-2008,0.675,0.73,0.765,0.61,-6.25%
01-06-2008,0.72,0.725,0.79,0.67,-1.37%
01-05-2008,0.73,0.615,0.775,0.585,5.04%
01-04-2008,0.695,0.55,0.71,0.52,23.01%
01-03-2008,0.565,0.54,0.59,0.48,4.63%
01-02-2008,0.54,0.485,0.61,0.465,3.25%
01-01-2008,0.523,0.64,0.655,0.48,-19.91%
01-12-2007,0.653,0.65,0.695,0.58,0.31%
01-11-2007,0.651,0.725,0.74,0.585,-4.41%
01-10-2007,0.681,0.75,0.8,0.65,-11.10%
01-09-2007,0.766,0.71,0.82,0.6,7.58%
01-08-2007,0.712,0.775,0.84,0.585,-9.53%
01-07-2007,0.787,0.8,0.86,0.725,-3.08%
01-06-2007,0.812,0.805,0.874,0.77,2.27%
01-05-2007,0.794,0.705,0.794,0.705,11.20%
01-04-2007,0.714,0.67,0.714,0.67,5.93%
01-03-2007,0.674,0.635,0.675,0.59,4.50%
01-02-2007,0.645,0.52,0.645,0.52,21.70%
01-01-2007,0.53,0.65,0.665,0.515,-17.06%
01-12-2006,0.639,0.625,0.675,0.59,3.06%
01-11-2006,0.62,0.59,0.665,0.585,7.83%
01-10-2006,0.575,0.47,0.615,0.45,30.68%
01-09-2006,0.44,0.455,0.475,0.376,-0.68%
01-08-2006,0.443,0.625,0.625,0.443,-27.97%
01-07-2006,0.615,0.665,0.72,0.61,-3.30%
01-06-2006,0.636,0.605,0.645,0.445,8.53%
01-05-2006,0.586,0.335,0.586,0.33,65.07%
01-04-2006,0.355,0.416,0.416,0.322,-14.66%
01-03-2006,0.416,0.195,0.416,0.185,112.24%
01-02-2006,0.196,0.095,0.196,0.085,78.18%
01-01-2006,0.11,0.115,0.125,0.064,-12.00%
01-12-2005,0.125,0.07,0.13,0.065,89.39%
01-11-2005,0.066,0.114,0.15,0.059,-38.89%
01-10-2005,0.108,0.057,0.129,0.037,86.21%
01-09-2005,0.058,0.019,0.088,-0.061,346.15%
01-08-2005,0.013,0.013,0.05,0.004,44.44%
01-07-2005,0.009,0.015,0.04,0.001,-10.00%
01-06-2005,0.01,0.014,0.033,0.003,-33.33%
01-05-2005,0.015,0.01,0.057,0.002,7.14%
01-04-2005,0.014,0.024,0.044,0.002,-58.82%
01-03-2005,0.034,0.043,0.049,0.002,21.43%
01-02-2005,0.028,0.015,0.057,0.002,7.69%
01-01-2005,0.026,0.015,0.027,0.005,62.50%
01-12-2004,0.016,0.015,0.03,0.005,166.67%
01-11-2004,0.006,0.01,0.025,0.005,-45.45%
01-10-2004,0.011,0.05,0.07,0.01,-73.81%
01-09-2004,0.042,0.05,0.055,0.035,-16.00%
01-08-2004,0.05,0.075,0.08,0.02,-28.57%
01-07-2004,0.07,0.08,0.085,0.065,-17.65%
01-06-2004,0.085,0.005,0.105,0.005,"1,600.00%"
01-05-2004,0.005,0.005,0.005,0.005,0.00%
01-04-2004,0.005,0.005,0.005,0.005,0.00%
01-03-2004,0.005,0.005,0.005,0.005,0.00%
01-02-2004,0.005,0.005,0.005,0.005,0.00%
01-01-2004,0.005,0.015,0.015,0.005,0.00%
01-12-2003,0.005,0.005,0.005,0.005,0.00%
01-11-2003,0.005,0.015,0.015,0.005,-66.67%
01-10-2003,0.015,0.04,0.04,0.01,-66.67%
01-09-2003,0.045,0.08,0.095,0.04,-35.71%
01-08-2003,0.07,0.04,0.07,0.035,75.00%
01-07-2003,0.04,0.035,0.045,0.035,33.33%
01-06-2003,0.03,0.01,0.03,0.005,200.00%
01-05-2003,0.01,0.01,0.01,0.01,-60.00%
01-04-2003,0.025,0.025,0.025,0.025,-16.67%
01-03-2003,0.03,0.03,0.03,0.03,200.00%
01-02-2003,0.01,0.01,0.01,0.01,0.00%
01-01-2003,0.01,0.01,0.01,0.01,-50.00%
01-12-2002,0.02,0.02,0.02,0.02,100.00%
01-11-2002,0.01,0.01,0.01,0.01,100.00%
01-10-2002,0.005,0.005,0.005,0.005,0.00%
01-09-2002,0.005,0.005,0.005,0.005,0.00%
01-08-2002,0.005,0.005,0.005,0.005,-50.00%
01-07-2002,0.01,0.01,0.01,0.01,-44.44%
01-06-2002,0.018,0.018,0.018,0.018,80.00%
01-05-2002,0.01,0.01,0.01,0.01,0.00%
01-04-2002,0.01,0.01,0.01,0.01,0.00%
01-03-2002,0.01,0.01,0.01,0.01,-60.00%
01-02-2002,0.025,0.025,0.025,0.025,25.00%
01-01-2002,0.02,0.02,0.02,0.02,-50.00%
01-12-2001,0.04,0.04,0.04,0.04,-11.11%
01-11-2001,0.045,0.045,0.045,0.045,12.50%
01-10-2001,0.04,0.04,0.04,0.04,0.00%
01-09-2001,0.04,0.04,0.04,0.04,-9.09%
01-08-2001,0.044,0.044,0.044,0.044,7.32%
01-07-2001,0.041,0.041,0.041,0.041,141.18%
01-06-2001,0.017,0.017,0.017,0.017,70.00%
01-05-2001,0.01,0.01,0.01,0.01,-70.59%
01-04-2001,0.034,0.034,0.034,0.034,-56.41%
01-03-2001,0.078,0.078,0.078,0.078,-59.79%
01-02-2001,0.194,0.194,0.194,0.194,-36.39%
01-01-2001,0.305,0.305,0.305,0.305,-22.78%
01-12-2000,0.395,0.395,0.395,0.395,-6.18%
01-11-2000,0.421,0.421,0.421,0.421,6.05%
01-10-2000,0.397,0.397,0.397,0.397,-15.71%
01-09-2000,0.471,0.471,0.471,0.471,20.15%
01-08-2000,0.392,0.392,0.392,0.392,82.33%
01-07-2000,0.215,0.215,0.215,0.215,-15.35%
01-06-2000,0.254,0.254,0.254,0.254,120.87%
01-05-2000,0.115,0.115,0.115,0.115,-25.81%
01-04-2000,0.155,0.155,0.155,0.155,-20.51%
01-03-2000,0.195,0.195,0.195,0.195,116.67%
01-02-2000,0.09,0.09,0.09,0.09,-14.29%
01-01-2000,0.105,0.105,0.105,0.105,-8.70%
